id,GEOGRAFICO
87,School
87,Mall
87,School
87,School
87,School
87,Temple
87,Medical Assistance Center
87,Medical Assistance Center
87,School
87,School
87,School
87,Mall
87,School
87,School
87,School
87,School
87,Mall
87,School
87,Temple
87,Sports Hub 
87,Sports Hub 
87,Sports Hub 
87,School
87,Sports Hub 
87,Medical Assistance Center
87,Sports Hub 
87,School
87,School
87,Sports Hub 
88,School
88,School
88,Temple
88,Temple
88,Temple
88,Temple
88,School
88,Temple
88,School
88,School
88,Temple
88,Temple
88,School
88,School
88,School
88,School
88,School
88,Cemetery
88,Sports Hub 
88,School
88,School
88,School
88,Sports Hub 
88,School
88,Sports Hub 
88,Sports Hub 
88,Sports Hub 
88,School
88,Sports Hub 
88,Sports Hub 
88,Sports Hub 
89,School
89,Temple
89,School
89,School
89,Temple
89,Temple
89,Temple
89,Temple
89,School
89,Temple
89,School
89,Cemetery
89,Sports Hub 
89,School
89,Sports Hub 
89,Sports Hub 
99,School
99,School
99,School
100,Square
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Water tank
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
100,Sports Hub 
101,Temple
101,School
101,Cemetery
101,School
101,School
101,Cemetery
101,Sports Hub 
101,Sports Hub 
101,Sports Hub 
101,Sports Hub 
101,Sports Hub 
101,Sports Hub 
101,Sports Hub 
101,Restriction of Passage to Pedestrians and/or Automobiles
101,Restriction of Passage to Pedestrians and/or Automobiles
101,Restriction of Passage to Pedestrians and/or Automobiles
101,Restriction of Passage to Pedestrians and/or Automobiles
101,Restriction of Passage to Pedestrians and/or Automobiles
101,Restriction of Passage to Pedestrians and/or Automobiles
101,Miscellaneous installation
101,Sports Hub 
101,Sports Hub 
101,Sports Hub 
101,Sports Hub 
102,School
102,Temple
102,Medical Assistance Center
102,School
102,School
102,School
102,School
102,School
102,Mall
102,Temple
102,School
102,School
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,Sports Hub 
102,School
102,Sports Hub 
102,Sports Hub 
102,Restriction of Passage to Pedestrians and/or Automobiles
102,Restriction of Passage to Pedestrians and/or Automobiles
102,Restriction of Passage to Pedestrians and/or Automobiles
102,Restriction of Passage to Pedestrians and/or Automobiles
102,Restriction of Passage to Pedestrians and/or Automobiles
102,Restriction of Passage to Pedestrians and/or Automobiles
102,Well
102,Sports Hub 
